user_id,distinct_umid_cnt_14d,distinct_login_cnt_14d,distinct_ipisp_cnt_14d
3376699,2,9,2
400089411742,2,12,2
400291941997,2,33,3
410444298079,2,22,2
400188105506,2,30,3
400350645168,2,17,2
6866216,2,8,1
400256082746,2,13,2
400049886148,2,13,2
400040856307,2,19,1
400025464989,2,16,1
14746218,2,13,1
400046655750,2,21,2
400271025819,2,20,3
400088754483,2,20,2
3555730,2,15,1
400024062077,2,12,1
400143966589,2,17,2
400220367280,2,11,2
400022974612,2,20,1
400026630758,2,16,5
400392867644,2,15,2
22181164,2,4,2
410458137270,2,28,1
400167948890,2,23,2
400634895550,2,6,1
400158654258,2,25,2
410441331501,2,17,2
400317027160,2,14,3
19025458,2,24,2
400342875216,2,12,2
400285914501,2,22,3
400261899007,2,16,2
400213272018,2,25,2
400055901103,2,52,2
400014962804,2,13,1
410472945686,2,10,1
400366833265,2,24,1
400050687370,2,14,1
400087230169,2,15,2
400021146776,2,17,2
400159695963,2,22,3
400232955641,2,19,1
400250709530,2,11,2
400244361396,2,27,1
400258131154,2,17,1
6298973,2,20,2
400323954492,2,21,2
400318560003,2,25,1
400167099884,2,34,2
410424429157,2,5,2
400014158617,2,12,4
400234188988,2,5,2
16112766,2,24,1
400016348582,2,22,1
400379928132,2,19,1
400231929614,2,19,2
400038543391,2,11,1
400130082489,2,16,2
400022178561,2,11,2
400271010104,2,9,2
400317672316,2,12,2
400026768828,2,11,4
400119255497,2,25,2
400388577150,2,11,3
400250724173,2,13,3
400211448935,2,20,2
400372059633,2,25,2
400295034339,2,6,1
410446824121,2,16,2
400003378550,2,14,1
400358028909,2,14,1
400201974028,2,11,1
400293834071,2,14,2
400173780595,2,18,1
400337655960,2,20,1
400187853208,2,16,2
410474547325,2,20,2
410467113519,2,12,1
400279734154,2,18,2
400236732823,2,44,1
9261450,2,13,1
400231926611,2,22,1
400094481890,2,14,1
400131165613,2,17,1
400248495740,2,20,3
400346745097,2,24,2
400139004916,2,21,2
400282017640,2,16,3
6999177,2,21,2
400013844110,2,20,2
400014688307,2,23,2
400392402058,2,14,3
400140768001,2,26,1
400153815305,2,15,2
410439123122,2,17,3
400266696818,2,12,2
400310229067,2,8,3
400299648369,2,16,1
400246836777,2,7,1
400033338391,2,14,1
400146354049,2,16,2
400229844659,2,22,2
400275642005,2,5,2
400270455634,2,22,3
400315530506,2,9,1
400204695950,2,15,2
400230441626,2,22,2
400089573443,2,20,1
400042785538,2,16,2
400071249095,2,7,1
400175463263,2,13,1
400127586385,2,24,3
400371273941,2,17,2
400069947288,2,29,1
400337865906,2,13,1
400014558479,2,20,2
400351515006,2,12,2
400167909116,2,22,1
400151418193,2,11,2
400214169842,2,17,1
400033994562,2,17,1
400290399103,2,23,7
400209780125,2,19,3
400282122768,2,12,1
400287777428,2,26,3
400221360041,2,18,1
400057656762,2,15,4
400036365869,2,24,2
400240137139,2,13,1
400030932194,2,17,2
400251834160,2,9,2
400120149811,2,2,1
400105890700,2,17,3
400375512042,2,33,2
400184337183,2,21,2
400379442682,2,22,1
400336494486,2,18,2
400185039695,2,19,3
400011962938,2,11,2
400356657324,2,36,3
400109163122,2,18,2
400112136124,2,14,1
400202946752,2,15,3
400315251149,2,13,1
400259019245,2,14,4
400167888943,2,13,3
400030088552,2,9,1
400228512462,2,17,1
400212717471,2,23,3
400202610881,2,11,1
400200198192,2,20,2
400086213990,2,21,1
400192206029,2,16,1
400277646573,2,18,2
400120248978,2,10,1
400631352522,2,7,1
400067052394,2,23,1
400084662354,2,11,2
400298247109,2,16,1
400235574857,2,21,1
400048632594,2,21,5
31432048,2,17,1
400234431423,2,20,2
400293243193,2,18,4
400023262951,2,19,1
400124277976,2,24,3
400346421277,2,7,1
400019872486,2,14,2
400073805398,2,13,1
400075116065,2,29,1
400058673823,2,17,2
400231350081,2,11,2
400225380486,2,15,2
19172795,2,25,2
400388442856,2,22,2
400167558864,2,19,2
410477952763,2,8,3
400095735980,2,21,2
11714552,2,17,2
400137804033,2,25,1
400150563250,2,26,1
400112277149,2,15,2
400345998902,2,27,2
400296360064,2,15,2
400055832572,2,8,1
400105269353,2,16,2
14001161,2,14,2
400145289199,2,13,3
400270383939,2,20,3
400183362429,2,19,1
400168005664,2,21,1
400222473180,2,21,1
400109379562,2,17,1
400257900047,2,24,2
400097853519,2,13,1
400184127429,2,14,3
400306809405,2,26,1
31998430,2,10,3
400306350783,2,26,3
400110387265,2,4,2
400026184695,2,15,1
400334235335,2,18,3
400279233070,2,24,1
400175505231,2,11,3
400105407958,2,9,2
400042161335,2,12,3
